"B","E","F","G","H","I","J","K","L","M","N","O","P","DD","MM","OO","PP","QQ","RR","SS","TT","UU","VV","YY","AAA","BBB","CCC","DDD","EEE","FFF","HHH","LLL"
"26-100","Yes","Yes","Yes","I don't know","I don't know","Very easy","No","No","Maybe","Yes","Yes","No","I don't know","No","Maybe","No, I don't think they would","Not applicable to me (I do not have a mental illness)","No","No Entry","I don't know","No","No","No","False","Not applicable to me","Not applicable to me",">25","F","United States of America","United States of America","Sometimes"
"26-100","No","Yes","No","No","I don't know","Somewhat difficult","Yes","Maybe","No","Maybe","I don't know","No","I don't know","No","Yes, I think it would","No, I don't think they would","Somewhat open","Yes, I experienced","Yes","Yes","Yes","Yes","Yes","True","Rarely","Often","25-35","F","Germany","Germany","Sometimes"
"1-5","I don't know","No","Yes","No","I don't know","Very difficult","Yes","Maybe","Yes","No","I don't know","No","Sometimes","No","Maybe","Maybe","Somewhat open","Yes, I observed","No","I don't know","Maybe","Maybe","No","True","Not applicable to me","Often","36-45","F","United States of America","United States of America","Sometimes"
"100-500","I don't know","No","I don't know","I don't know","I don't know","Very easy","Maybe","Maybe","Yes","Yes","I don't know","No","I don't know","Maybe","Maybe","No, I don't think they would","Very open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","France","France","Sometimes"
"26-100","Yes","No","No","No","No","Somewhat easy","Maybe","No","No","Maybe","Yes","No","I don't know","No","Yes, I think it would","Yes, I think they would","Neutral","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","F","United States of America","United States of America","Sometimes"
"More than 1000","I don't know","I am not sure","No","I don't know","I don't know","Very difficult","Maybe","Maybe","No","Maybe","I don't know","No","I don't know","No","Maybe","Maybe","Somewhat open","No","No Entry","I don't know","Yes","Maybe","Yes","True","Rarely","Sometimes","36-45","M","United States of America","United States of America","Sometimes"
"6-25","Yes","No","No","I don't know","I don't know","Somewhat difficult","Yes","Maybe","Maybe","No","No","No","No","No","Yes, I think it would","Yes, I think they would","Not open at all","Yes, I observed","No","I don't know","Yes","Maybe","Yes","True","Rarely","Often","36-45","M","United States of America","United States of America","Sometimes"
"500-1000","No","I am not sure","No","No","I don't know","Somewhat difficult","Yes","No","Maybe","Yes","No","No","I don't know","No","Yes, I think it would","Maybe","Somewhat open","Yes, I observed","No","Yes","Yes","Yes","Yes","True","Never","Sometimes","25-35","M","United States of America","United States of America","Sometimes"
"More than 1000","Yes","No","No","Yes","Yes","I don't know","Maybe","No","Maybe","Yes","I don't know","No","I don't know","No","Yes, I think it would","Maybe","Neutral","Yes, I observed","Yes","I don't know","Yes","Yes","Yes","True","Rarely","Rarely","25-35","M","United States of America","United States of America","Sometimes"
"More than 1000","I don't know","No","Yes","I don't know","I don't know","Neither easy nor difficult","No","No","Maybe","Yes","Yes","No","I don't know","No","No, I don't think it would","No, I don't think they would","Somewhat open","Maybe/Not sure","No","Yes","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Sometimes"
"More than 1000","Yes","I am not sure","No","I don't know","Yes","I don't know","Maybe","No","No","Maybe","I don't know","No","I don't know","Maybe","Yes, I think it would","Maybe","Not applicable to me (I do not have a mental illness)","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Sometimes"
"26-100","Yes","No","No","I don't know","I don't know","I don't know","No","No","No","Maybe","Yes","No","I don't know","No","Maybe","Maybe","Neutral","No","No Entry","No","No","Maybe","Yes","True","Rarely","Sometimes","25-35","M","United States of America","United States of America","Sometimes"
"26-100","I don't know","I am not sure","No","I don't know","I don't know","Somewhat easy","No","No","Yes","Yes","I don't know","No","Sometimes","Maybe","Maybe","No, I don't think they would","Somewhat open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Always"
"100-500","Yes","Yes","No","I don't know","I don't know","Somewhat difficult","Yes","No","No","No","No","No","I don't know","No","Maybe","Maybe","Somewhat open","Maybe/Not sure","Yes","I don't know","Yes","Yes","Yes","True","Rarely","Sometimes","25-35","F","United States of America","United States of America","Sometimes"
"100-500","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Yes","Yes","I don't know","No","Sometimes","Maybe","Maybe","No, I don't think they would","Very open","Yes, I experienced","No","Yes","Yes","Yes","Yes","True","Rarely","Sometimes","25-35","M","United States of America","United States of America","Sometimes"
"1-5","No","Yes","No","No","No","Very difficult","Maybe","Maybe","No","No","I don't know","No","Sometimes","No","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I experienced","Yes","Yes","Yes","Yes","Yes","True","Sometimes","Often","36-45","F","Canada","Canada","Always"
"26-100","I don't know","No","No","I don't know","I don't know","I don't know","Yes","Maybe","No","Maybe","I don't know","No","I don't know","No","Yes, I think it would","Maybe","Somewhat open","Maybe/Not sure","Yes","I don't know","No","No","No","False","Not applicable to me","Not applicable to me","25-35","F","United States of America","United States of America","Sometimes"
"500-1000","Yes","No","No","I don't know","I don't know","I don't know","Maybe","No","Maybe","Yes","Yes","No","I don't know","Maybe","Yes, I think it would","Yes, I think they would","Somewhat open","Maybe/Not sure","Maybe","Yes","Maybe","Maybe","Yes","True","Sometimes","Sometimes","36-45","F","United States of America","United States of America","Always"
"26-100","I don't know","I am not sure","I don't know","No","I don't know","I don't know","Maybe","Maybe","Maybe","Maybe","I don't know","No","Not Applicable","No","Yes, I think it would","Yes, I think they would","Somewhat not open","No","No Entry","Yes","Yes","Yes","Yes","True","Sometimes","Sometimes",">25","M","United Kingdom","United Kingdom","Never"
"26-100","Yes","I am not sure","No","No","No","Somewhat easy","Maybe","No","No","Yes","Yes","No","No","No","Yes, I think it would","Yes, I think they would","Very open","No","No Entry","I don't know","Yes","Yes","Yes","True","Rarely","Often","25-35","F","United States of America","United States of America","Sometimes"
"26-100","Yes","No","No","No","I don't know","Very difficult","Yes","Maybe","Maybe","Maybe","No","Yes","I don't know","No","Yes, it has","No, I don't think they would","Somewhat open","Yes, I experienced","No Entry","No","Yes","Yes","Yes","True","Rarely","Often","25-35","M","United States of America","United States of America","Sometimes"
"6-25","Yes","Yes","No","I don't know","No","Somewhat easy","No","No","Yes","Yes","Yes","No","I don't know","No","Yes, I think it would","Maybe","Very open","Maybe/Not sure","No Entry","No","No","No","No","True","Never","Often","36-45","M","United States of America","United States of America","Sometimes"
"6-25","I don't know","No","No","I don't know","I don't know","Somewhat difficult","No","No","Yes","Yes","Yes","No","Sometimes","Maybe","No, I don't think it would","Maybe","Very open","Yes, I experienced","No","Yes","Yes","No","Yes","False","Sometimes","Sometimes","25-35","F","Canada","Canada","Sometimes"
"More than 1000","No","No Entry","No","No","I don't know","Very difficult","Yes","Maybe","No","No","No","Yes","No","No","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I observed","Yes","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Sometimes"
"More than 1000","Yes","Yes","I don't know","Yes","Yes","Very easy","No","No","Maybe","Yes","Yes","No","Yes, always","Yes","No, I don't think it would","No, I don't think they would","Very open","No","No Entry","No","Yes","Yes","Yes","True","Never","Sometimes","36-45","M","United States of America","United States of America","Sometimes"
"100-500","Yes","No","I don't know","I don't know","I don't know","I don't know","Maybe","No","Maybe","Maybe","I don't know","No","I don't know","Maybe","Maybe","Maybe","Somewhat open","No","No Entry","Yes","Maybe","Maybe","No","True","Not applicable to me","Sometimes","36-45","M","United States of America","United States of America","Always"
"26-100","I don't know","No","Yes","No","I don't know","Very easy","No","No","Yes","Yes","I don't know","No","I don't know","Maybe","Yes, I think it would","No, I don't think they would","Somewhat open","No","No Entry","I don't know","Maybe","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Always"
"100-500","Yes","No","No","I don't know","I don't know","Somewhat easy","Maybe","Maybe","Yes","Yes","I don't know","No","Not Applicable","Maybe","Yes, I think it would","No, I don't think they would","Not open at all","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Never"
"26-100","No","I am not sure","No","I don't know","Yes","Very difficult","Yes","Maybe","Maybe","Maybe","I don't know","No","I don't know","No","Yes, it has","No, I don't think they would","Neutral","Maybe/Not sure","No Entry","I don't know","Yes","Yes","Yes","True","Sometimes","Often","25-35","M","United States of America","United States of America","Sometimes"
"More than 1000","I don't know","No","No","No","I don't know","Somewhat difficult","Yes","Maybe","No","No","No","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat not open","No Entry","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","Canada","Canada","Always"
"500-1000","Yes","Yes","No","I don't know","Yes","Somewhat easy","Maybe","Maybe","No","No","No","No","I don't know","No","Yes, I think it would","Maybe","Neutral","No","No Entry","No","Maybe","No","No","False","Not applicable to me","Not applicable to me",">25","M","United States of America","United States of America","Sometimes"
"6-25","Yes","Yes","No","Yes","Yes","Very easy","No","No","Maybe","Yes","Yes","No","I don't know","No","Yes, I think it would","Maybe","Somewhat open","Yes, I experienced","Yes","Yes","Yes","Yes","Yes","True","Sometimes","Often","25-35","M","United States of America","United States of America","Sometimes"
"More than 1000","Yes","Yes","No","I don't know","I don't know","Somewhat difficult","Maybe","Maybe","Maybe","Maybe","Yes","No","I don't know","No","Yes, I think it would","Yes, I think they would","Very open","Maybe/Not sure","Maybe","No","Yes","Yes","Yes","True","Sometimes","Often","36-45","F","United States of America","United States of America","Never"
"100-500","Yes","Yes","No","Yes","I don't know","Somewhat easy","Maybe","No","Maybe","No","I don't know","No","Not Applicable","No","Yes, I think it would","Maybe","Somewhat open","Maybe/Not sure","No Entry","No","Yes","Yes","No","False","Rarely","Often","36-45","F","United States of America","United States of America","Sometimes"
"More than 1000","Yes","Yes","Yes","Yes","Yes","Very easy","Yes","Maybe","No","No","Yes","No","Not Applicable","No","Yes, I think it would","Yes, I think they would","Not applicable to me (I do not have a mental illness)","No","No Entry","I don't know","No","No","No","True","Not applicable to me","Not applicable to me","45<","F","United States of America","United States of America","Never"
"More than 1000","Yes","Yes","Yes","Yes","Yes","Neither easy nor difficult","Maybe","No","Maybe","Maybe","No","No","I don't know","Maybe","Yes, I think it would","Maybe","Somewhat open","Maybe/Not sure","No","No","Yes","Yes","No","False","Not applicable to me","Not applicable to me",">25","M","United States of America","United States of America","Never"
